Car No.	School Name	Team Name	Status	Time
71	Bradley Univ	Bradley Motorsports	OK	4.92300
31	Milwaukee School of Engrg	MSOE Baja	OK	6.23500
77	Michigan Tech Univ	Blizzard Baja	OK	5.24700
41	Univ of Oklahoma	Sooner Off-Road	OK	4.92000
71	Bradley Univ	Bradley Motorsports	OK	4.90400
105	Northern Kentucky Univ	Norse Baja	OK	5.61800
105	Northern Kentucky Univ	Norse Baja	OK	5.58800
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	4.08300
64	Michigan State Univ	MSU Baja	OK	4.49000
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	5.16700
3	Georgia Southern Univ	Eagle Motorsports	OK	4.61300
15	Old Dominion Univ	Whiskey Throttle Racing	OK	5.02600
19	Wright State Univ	Raider Baja	OK	5.79700
19	Wright State Univ	Raider Baja	OK	5.62300
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	4.87600
89	Clemson Univ	CUBaja Racing	OK	4.72700
15	Old Dominion Univ	Whiskey Throttle Racing	OK	4.83800
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	4.22700
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	4.57500
73	Univ of Kansas - Lawrence	JMS Baja	OK	5.50600
73	Univ of Kansas - Lawrence	JMS Baja	OK	5.49300
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	4.73000
74	Univ of Evansville	UE BAJA	OK	5.57100
39	Univ of Nebraska - Lincoln	Husker Racing	OK	4.25400
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	4.79500
144	Univ of North Carolina - Charlotte	49er Racing	OK	4.62100
144	Univ of North Carolina - Charlotte	49er Racing	OK	4.71200
46	Georgia Institute of Technology	GT Off Road	OK	4.85100
102	North Carolina A & T State Univ	Aggie Racing	OK	4.39700
34	Clarkson University	Golden Knights Racing	OK	4.06500
6	New Jersey Institute of Technology	Highlander Racing	OK	4.20000
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	4.28900
104	Univ of Central Florida	Knights Racing	OK	4.20400
33	Univ of Iowa	Hawkeye Motorsports	OK	4.76700
106	Alfred Univ	Saxon Racing	OK	4.79500
99	McGill Univ	McGill Baja Racing	OK	4.22700
3	Georgia Southern Univ	Eagle Motorsports	OK	4.38000
31	Milwaukee School of Engrg	MSOE Baja	OK	6.21100
56	Oklahoma Christian Univ	Rocky Road Racing	OK	6.31800
67	Ferris State University	Ferris State Baja Racing	OK	5.21100
67	Ferris State University	Ferris State Baja Racing	OK	5.17700
106	Alfred Univ	Saxon Racing	OK	4.81400
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	4.36900
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	4.69900
27	Virginia Tech	VT Baja	OK	4.67400
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	4.61300
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.67500
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	4.66800
84	Univ of Virginia	Virginia Motorsports	OK	4.70200
84	Univ of Virginia	Virginia Motorsports	OK	4.74000
40	Olin College of Engineering	Olin Baja	OK	4.89200
40	Olin College of Engineering	Olin Baja	OK	4.97400
56	Oklahoma Christian Univ	Rocky Road Racing	OK	5.19600
