Car No.	School Name	Team Name	Status	Time	Distance
92	Pittsburg State University	Gorilla Racing	OK	0.00000	23.667 Ft
43	Univ of Maryland - College Park	Terps Racing	OK	0.00000	3.250 Ft
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	0.00000	3.750 Ft
43	Univ of Maryland - College Park	Terps Racing	OK	0.00000	1.333 Ft
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	0.167 Ft
77	Michigan Tech Univ	Blizzard Baja	OK	0.00000	1.000 Ft
25	Univ of Calif - Los Angeles	Bruin Racing	OK	0.00000	0.167 Ft
77	Michigan Tech Univ	Blizzard Baja	OK	0.00000	0.333 Ft
14	Pennsylvania College of Technology	PCTBaja	OK	0.00000	0.417 Ft
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	0.167 Ft
92	Pittsburg State University	Gorilla Racing	OK	0.00000	25.500 Ft
26	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	21.167 Ft
83	Central Michigan Univ	Chippewa Performance	OK	0.00000	19.833 Ft
2	Univ of Wisconsin - Madison	Badger Racing	OK	0.00000	23.333 Ft
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	0.00000	19.250 Ft
76	The Ohio State University	Baja Buckeyes	OK	0.00000	1.167 Ft
83	Central Michigan Univ	Chippewa Performance	OK	0.00000	16.917 Ft
14	Pennsylvania College of Technology	PCTBaja	OK	0.00000	0.333 Ft
58	San Diego State Univ	Aztec Baja	OK	0.00000	0.000 Ft
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	0.00000	9.917 Ft
45	Ohio Northern Univ	Polar Bear Racing	OK	0.00000	0.000 Ft
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00000	18.500 Ft
2	Univ of Wisconsin - Madison	Badger Racing	OK	0.00000	23.250 Ft
71	Bradley Univ	Bradley Motorsports	OK	0.00000	0.167 Ft
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	0.00000	0.167 Ft
64	Michigan State Univ	MSU Baja	OK	0.00000	0.167 Ft
10	Univ of Akron	Zips Baja	OK	0.00000	0.250 Ft
19	Wright State Univ	Raider Baja	OK	0.00000	0.167 Ft
73	Univ of Kansas - Lawrence	JMS Baja	OK	0.00000	0.333 Ft
34	Clarkson University	Golden Knights Racing	OK	0.00000	0.250 Ft
126	Murray State Univ	Murray	OK	0.00000	21.583 Ft
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00000	16.500 Ft
51	Marquette Univ	Eagle Racing	OK	0.00000	0.167 Ft
71	Bradley Univ	Bradley Motorsports	OK	0.00000	0.292 Ft
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	0.00000	9.750 Ft
95	Youngstown State Univ	Penguin Powersports	OK	0.00000	0.167 Ft
94	Univ of Rochester	Yellow Jacket Racing	OK	0.00000	2.750 Ft
6	New Jersey Institute of Technology	Highlander Racing	OK	0.00000	0.625 Ft
126	Murray State Univ	Murray	OK	0.00000	21.333 Ft
32	Cornell Univ	Cornell Baja	OK	0.00000	0.542 Ft
115	Western Michigan Univ	Bronco Racing	OK	0.00000	0.208 Ft
51	Marquette Univ	Eagle Racing	OK	0.00000	0.250 Ft
58	San Diego State Univ	Aztec Baja	OK	0.00000	0.250 Ft
20	Rochester Institute of Technology	RIOT RACING	OK	0.00000	0.917 Ft
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	0.00000	1.250 Ft
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00000	33.500 Ft
