Car Number	School Name	Team Name	Status	Time
45	Iowa State Univ	Cyclone Racing	OK	103.20000
72	North Carolina A & T State Univ	Aggie Racing	DQ	0.00000
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	DQ	0.00000
3	Northeastern Univ	Skunkworks	DQ	0.00000
64	Oklahoma State Univ	OSU Cowboy Racing	OK	76.27000
1	Cornell Univ	BIG RED RACING	OK	71.94900
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	DQ	0.00000
59	Central Michigan Univ	Chippewa Performance	OK	146.39900
52	Universite Laval	Alerion	OK	84.26700
65	Univ of Rochester	Yellowjackets	OK	76.77800
71	Arizona State Univ Polytechnic	SunDevil Racing Development	DQ	0.00000
25	Florida Inst of Tech	FIt Baja	DQ	0.00000
24	Univ of Nebraska - Lincoln	Husker Racing	OK	92.28600
5	LeTourneau Univ	Renegade Racing	OK	71.52300
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	DQ	0.00000
23	McGill Univ	McGill Baja Racing	OK	122.65200
35	Univ of Oklahoma	Sooner Off-Road	DQ	0.00000
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	DQ	0.00000
93	Ecole Polytechnique De Montreal	poly mud bees	OK	70.67800
6	Univ of Michigan - Ann Arbor	Maize	OK	68.63600
78	Univ of British Columbia	UBC Baja SAE	OK	111.18500
29	Clemson Univ	CUBaja Racing	DQ	0.00000
80	Univ of Regina	Cougar Motorsports	OK	114.17200
31	Pittsburg State University	Gorilla I (Dorothy)	OK	162.47700
33	Tennessee Tech Univ	TTU Baja SAE	DQ	0.00000
92	Univ of Evansville	UE 2014	DQ	0.00000
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	97.43300
48	Montana State Univ - Bozeman	Bobcat Motorsports	DQ	0.00000
100	Instituto Technolgico de Buenos Aires	ITBA Competition	DQ	0.00000
67	Lipscomb Univ	Lipscomb Motorsports	OK	88.42300
56	Johns Hopkins Univ	Hopkins Baja	DQ	0.00000
76	Univ of Wisconsin - Madison	UW Madison Baja	DQ	0.00000
62	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	94.60800
40	Universite Du Quebec at Rimouski	Nordic Wolf	DQ	0.00000
61	Franklin W Olin College of Engineering	Phoenix Racing	DQ	0.00000
46	Fairmont State Univ	Falcon Racing	OK	90.21600
79	Conestoga College	Conestoga Off-road Baja Racing Association	DQ	0.00000
84	Montana Tech	Oredigger Baja '14	DQ	0.00000
18	Kansas State Univ - Salina	KSU Salina Baja	OK	121.89000
90	Univ of Maryland - College Park	Black Team	DQ	0.00000
24	Univ of Nebraska - Lincoln	Husker Racing	DQ	0.00000
26	Missouri University of Science and Tech	Miner Baja Racing	OK	138.60200
89	Univ of Toronto	UofT BAJA Team	DQ	0.00000
49	Univ of Maryland - Baltimore County	Retriever Racing	OK	80.23100
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	99.29100
99	Baylor Univ	Baylor Baja	DQ	0.00000
8	Univ of Louisville	Speed Motorsports	OK	85.20800
69	Univ of Virginia	Virginia Baja	DQ	0.00000
56	Johns Hopkins Univ	Hopkins Baja	DQ	0.00000
19	Univ of Puerto Rico	RUM Racing Baja	DQ	0.00000
64	Oklahoma State Univ	OSU Cowboy Racing	OK	83.84900
71	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	89.00600
88	Univ of Kentucky - Paducah	UK Paducah Baja	DQ	0.00000
76	Univ of Wisconsin - Madison	UW Madison Baja	OK	66.37000
41	Universidad Catolica Andres Bello	BajaUCAB	OK	88.83400
74	Univ of Akron	Zips Racing	DQ	0.00000
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	89.06700
61	Franklin W Olin College of Engineering	Phoenix Racing	DQ	0.00000
