Car Number	School Name	Team Name	Status	Time
6	Univ of Michigan - Ann Arbor	Maize	OK	3.55700
90	Univ of Maryland - College Park	Black Team	OK	3.65600
90	Univ of Maryland - College Park	Black Team	OK	3.73800
36	West Virginia Univ Inst of Tech	WVU Tech SAE	OK	4.86400
93	Ecole Polytechnique De Montreal	poly mud bees	OK	4.08200
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	4.57200
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	4.85000
60	Case Western Reserve Univ	BBB Motorsports	OK	4.70400
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	4.58000
60	Case Western Reserve Univ	BBB Motorsports	OK	4.64800
84	Montana Tech	Oredigger Baja '14	OK	5.36000
80	Univ of Regina	Cougar Motorsports	OK	4.45600
84	Montana Tech	Oredigger Baja '14	OK	5.30000
33	Tennessee Tech Univ	TTU Baja SAE	OK	4.33200
45	Iowa State Univ	Cyclone Racing	OK	3.75100
83	Univ of Alabama - Tuscaloosa	Bama Racing	OK	4.17600
8	Univ of Louisville	Speed Motorsports	OK	4.27500
69	Univ of Virginia	Virginia Baja	OK	3.93600
69	Univ of Virginia	Virginia Baja	OK	4.15600
88	Univ of Kentucky - Paducah	UK Paducah Baja	OK	4.24600
88	Univ of Kentucky - Paducah	UK Paducah Baja	OK	4.38800
41	Universidad Catolica Andres Bello	BajaUCAB	OK	4.10100
9	Rochester Institute of Technology	RIOT RACING	OK	3.65300
87	Colorado School of Mines	Mines Baja Racing	OK	4.83900
87	Colorado School of Mines	Mines Baja Racing	OK	4.91900
74	Univ of Akron	Zips Racing	OK	4.77200
74	Univ of Akron	Zips Racing	OK	4.85200
96	College of New Jersey	Motorlions	OK	4.41800
52	Universite Laval	Alerion	OK	4.51200
32	Univ of New Orleans	UNO	OK	4.26000
71	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	4.32500
46	Fairmont State Univ	Falcon Racing	OK	4.22100
95	Gyeongsang National Univ	Car-Tech	OK	4.91600
101	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	5.04900
95	Gyeongsang National Univ	Car-Tech	OK	4.76900
101	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	4.86400
14	Northwestern Univ	Northwestern Baja	OK	4.32900
75	Univ of Memphis	Tiger Baja	OK	4.75600
14	Northwestern Univ	Northwestern Baja	OK	4.36700
37	Univ of Arizona	University of Arizona Baja Racing	OK	4.21200
