Car Number	School Name	Team Name	Status	Report Score	Evaluation Score	Bonus Points	Penalty Points	Final Score
74	Univ of Akron	Zips Racing	OK	0.00	80.00	0.00	10.00	70.00
75	Univ of Memphis	Tiger Baja	OK	0.00	0.00	0.00	0.00	0.00
77	Auburn Univ	War Eagle Racing	OK	0.00	30.00	0.00	0.00	30.00
78	Univ of British Columbia	UBC Baja SAE	OK	0.00	80.00	0.00	30.00	50.00
80	Univ of Regina	Cougar Motorsports	OK	0.00	20.00	0.00	10.00	10.00
79	Conestoga College	Conestoga Off-road Baja Racing Association	OK	0.00	40.00	0.00	0.00	40.00
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00	30.00	0.00	0.00	30.00
82	Univ of Western Ontario	Western Baja SAE	OK	0.00	50.00	0.00	0.00	50.00
83	Univ of Alabama - Tuscaloosa	Bama Racing	OK	0.00	50.00	0.00	10.00	40.00
84	Montana Tech	Oredigger Baja '14	OK	0.00	10.00	0.00	0.00	10.00
85	Univ of Calif - Los Angeles	UCLA Racing	OK	0.00	80.00	0.00	0.00	80.00
86	Pennsylvania College of Technology	Wildcats	OK	0.00	20.00	0.00	40.00	0.00
87	Colorado School of Mines	Mines Baja Racing	OK	0.00	50.00	0.00	0.00	50.00
88	Univ of Kentucky - Paducah	UK Paducah Baja	OK	0.00	10.00	0.00	0.00	10.00
89	Univ of Toronto	UofT BAJA Team	OK	0.00	20.00	0.00	0.00	20.00
90	Univ of Maryland - College Park	Black Team	OK	0.00	10.00	0.00	0.00	10.00
91	Government College of Engrg Pune	Team Nemesis Racing	OK	0.00	40.00	0.00	0.00	40.00
92	Univ of Evansville	UE 2014	OK	0.00	40.00	0.00	0.00	40.00
94	Universidad Nacional Autónoma de México	Puma Off-Road Team	OK	0.00	0.00	0.00	0.00	0.00
93	Ecole Polytechnique De Montreal	poly mud bees	OK	0.00	90.00	0.00	0.00	90.00
95	Gyeongsang National Univ	Car-Tech	OK	0.00	20.00	0.00	10.00	10.00
96	College of New Jersey	Motorlions	OK	0.00	50.00	0.00	0.00	50.00
97	Wichita State Univ	Shocker Racing	OK	0.00	40.00	0.00	0.00	40.00
98	Lawrence Technological Univ	Blue Devil Racing	OK	0.00	10.00	0.00	0.00	10.00
99	Baylor Univ	Baylor Baja	OK	0.00	40.00	0.00	0.00	40.00
100	Instituto Technolgico de Buenos Aires	ITBA Competition	OK	0.00	70.00	0.00	0.00	70.00
101	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	0.00	20.00	0.00	0.00	20.00
6	Univ of Michigan - Ann Arbor	Maize	OK	0.00	120.00	0.00	10.00	110.00
2	Ohio Northern Univ	Polar Bear Racing	OK	0.00	80.00	0.00	20.00	60.00
76	Univ of Wisconsin - Madison	UW Madison Baja	OK	0.00	70.00	0.00	10.00	60.00
