Car No.	School Name	Team Name	Status	Time
84	Universidad De La Salle Bajio	Bajio 1	OK	3.91100
29	Univ of Maryland - Baltimore County	UMBC Racing	OK	3.89900
91	Case Western Reserve Univ	CWRU Motorsports	OK	3.88400
33	Kansas State Univ	Wildcat Offroad	OK	4.21900
63	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	4.37000
33	Kansas State Univ	Wildcat Offroad	OK	4.21200
53	SRM Engineering College	The Conrods Off-Road Racing	OK	4.26900
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	4.31000
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	4.28100
39	Univ of Akron	Zips Baja	OK	4.49400
80	Lipscomb Univ	Lipscomb Motorsports	OK	4.35200
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	4.47300
45	Univ of Alabama - Tuscaloosa	Bama Racing	OK	5.86000
80	Lipscomb Univ	Lipscomb Motorsports	OK	4.38800
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	4.49100
45	Univ of Alabama - Tuscaloosa	Bama Racing	OK	5.63200
25	Pittsburg State University	Diddy Kong Racing	OK	4.94700
25	Pittsburg State University	Diddy Kong Racing	OK	5.00800
14	Cleveland State Univ	Viking Racing	OK	4.49200
39	Univ of Akron	Zips Baja	OK	4.45500
40	Vellore Institute of Technology	Team Jaabaz	OK	4.93300
28	Wichita State Univ	Shocker Racing	OK	4.59100
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	4.13400
59	Univ of Rochester	Yellowjacket Racing	OK	6.16200
28	Wichita State Univ	Shocker Racing	OK	4.53300
43	Kettering Univ	Bulldog Racing	OK	4.26300
29	Univ of Maryland - Baltimore County	UMBC Racing	OK	3.91400
43	Kettering Univ	Bulldog Racing	OK	4.32800
111	Univ of Cincinnati	Bearcats Baja	OK	5.42100
111	Univ of Cincinnati	Bearcats Baja	OK	4.38700
48	Bucknell Univ	Bucknell MotoWorks	OK	4.45600
48	Bucknell Univ	Bucknell MotoWorks	OK	4.50900
100	Northeastern Univ	Skunkworks	OK	4.68000
100	Northeastern Univ	Skunkworks	OK	5.45400
15	Virginia Tech	VT Baja	OK	4.44500
15	Virginia Tech	VT Baja	OK	4.73200
18	Queen's Univ - Ontario Canada	Queen's University Baja SAE Design Team	OK	5.25200
92	Univ of Arkansas- Fort Smith	UAFS	OK	5.38500
92	Univ of Arkansas- Fort Smith	UAFS	OK	5.45300
90	Michigan Tech Univ	Blizzard Baja	OK	4.06200
86	North Carolina A & T State Univ	Aggie Racing	OK	4.11500
86	North Carolina A & T State Univ	Aggie Racing	OK	4.05000
