Car No.	School Name	Team Name	Status	Time	Distance
111	Univ of Cincinnati	Bearcats Baja	OK	0.00000	129 Feet
59	Univ of Rochester	Yellowjacket Racing	OK	0.00000	55 Feet
57	Youngstown State Univ	Penguin Powersports	OK	60.31500	912 Feet
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	105 Feet
91	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	55 Feet
30	Johns Hopkins Univ	Hopkins Baja	OK	0.00000	129 Feet
5	Rochester Institute of Technology	RIOT RACING	OK	49.75400	912 Feet
27	Univ of Calif - Los Angeles	UCLA Racing	OK	63.68700	912 Feet
35	Clarkson University	Golden Knights Racing	OK	0.00000	580 Feet
95	Tennessee Tech Univ	TTU Baja	OK	66.73600	912 Feet
39	Univ of Akron	Zips Baja	OK	0.00000	875 Feet
63	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	86.51400	912 Feet
48	Bucknell Univ	Bucknell MotoWorks	OK	0.00000	129 Feet
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	0.00000	55 Feet
37	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00000	317 Feet
39	Univ of Akron	Zips Baja	OK	56.76800	912 Feet
50	Southern Illinois Univ at Carbondale	Saluki Baja	OK	0.00000	329 Feet
88	Florida Inst of Tech	Florida Tech Motorsports	OK	0.00000	184 Feet
52	Miami Univ	Redhawk Racing	OK	0.00000	875 Feet
6	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	459 Feet
29	Univ of Maryland - Baltimore County	UMBC Racing	OK	65.15200	912 Feet
110	Universidad Autonoma Estado Mexico	Sara Juana RT	OK	0.00000	111 Feet
52	Miami Univ	Redhawk Racing	OK	0.00000	129 Feet
33	Kansas State Univ	Wildcat Offroad	OK	0.00000	129 Feet
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	96.38800	912 Feet
63	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	0.00000	129 Feet
33	Kansas State Univ	Wildcat Offroad	OK	0.00000	129 Feet
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	0.00000	129 Feet
14	Cleveland State Univ	Viking Racing	OK	70.73800	912 Feet
62	Central Michigan Univ	Chippewa Performance	OK	0.00000	335 Feet
51	Northern Kentucky Univ	Norse Baja	OK	0.00000	580 Feet
29	Univ of Maryland - Baltimore County	UMBC Racing	OK	61.98200	912 Feet
90	Michigan Tech Univ	Blizzard Baja	OK	56.80700	912 Feet
53	SRM Engineering College	The Conrods Off-Road Racing	OK	0.00000	129 Feet
95	Tennessee Tech Univ	TTU Baja	OK	67.82900	912 Feet
62	Central Michigan Univ	Chippewa Performance	OK	82.35100	912 Feet
28	Wichita State Univ	Shocker Racing	OK	0.00000	329 Feet
65	Louisiana Tech Univ	Mud Dawg Racing	OK	0.00000	875 Feet
55	Univ of Wisconsin - Stout	Blue Devil Racing	OK	0.00000	111 Feet
45	Univ of Alabama - Tuscaloosa	Bama Racing	OK	76.71200	912 Feet
90	Michigan Tech Univ	Blizzard Baja	OK	55.13200	912 Feet
14	Cleveland State Univ	Viking Racing	OK	0.00000	0 Feet
40	Vellore Institute of Technology	Team Jaabaz	OK	0.00000	678 Feet
91	Case Western Reserve Univ	CWRU Motorsports	OK	0.00000	329 Feet
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	0.00000	129 Feet
77	Rowan Univ	Rowan Motorsports	OK	0.00000	129 Feet
50	Southern Illinois Univ at Carbondale	Saluki Baja	OK	0.00000	323 Feet
84	Universidad De La Salle Bajio	Bajio 1	OK	0.00000	55 Feet
65	Louisiana Tech Univ	Mud Dawg Racing	OK	0.00000	515 Feet
43	Kettering Univ	Bulldog Racing	OK	0.00000	129 Feet
66	Purdue Univ - Calumet	PUC Motorsports	OK	0.00000	335 Feet
59	Univ of Rochester	Yellowjacket Racing	OK	79.18300	912 Feet
45	Univ of Alabama - Tuscaloosa	Bama Racing	OK	0.00000	129 Feet
84	Universidad De La Salle Bajio	Bajio 1	OK	62.12200	912 Feet
43	Kettering Univ	Bulldog Racing	OK	0.00000	580 Feet
