Car No.	School / Team Name	Status	Eval. Score	Penalty Points	Final Score
84	Universidad De La Salle Bajio Bajio 1	OK	85.00	0.00	98.00
36	Univ of Central Florida KnightsRacing	OK	83.00	0.00	97.00
30	Johns Hopkins Univ Hopkins Baja	OK	74.00	0.00	89.00
4	Cornell Univ BIG RED RACING	OK	73.00	0.00	88.00
2	Univ of Michigan - Ann Arbor Maize	OK	84.00	0.00	86.00
29	Univ of Maryland - Baltimore County UMBC Racing	OK	75.00	0.00	86.00
16	San Diego State Univ Aztec Racing	OK	70.00	0.00	85.00
79	Virginia Western Comm Coll VWCC Motorsports	OK	77.00	0.00	85.00
12	North Carolina State Univ - Raleigh Wolfpack Motorsports	OK	74.00	0.00	84.00
54	SUNY - Buffalo UB Motorsports	OK	70.00	0.00	84.00
76	Arizona State Univ Polytechnic Sun Devil Racing Development	OK	71.00	0.00	84.00
83	California Polytechnic State Univ-SLO Cal Poly Racing	OK	70.00	0.00	84.00
89	Oregon State Univ Beaver Racing	OK	75.00	0.00	84.00
41	Univ of Wisconsin - Madison SAE Baja - UW Madison	OK	74.00	1.00	82.00
59	Univ of Rochester Yellowjacket Racing	OK	70.00	0.00	81.00
100	Northeastern Univ Skunkworks	OK	67.00	0.00	80.00
10	Polytechnique Montréal poly mud bees	OK	64.00	0.00	79.00
5	Rochester Institute of Technology RIOT RACING	OK	64.00	0.00	78.00
23	Ohio Northern Univ Polar Bear Racing	OK	62.00	0.00	77.00
42	Auburn Univ War Eagle Motorsports	OK	62.00	0.00	77.00
43	Kettering Univ Bulldog Racing	OK	64.00	0.00	76.00
101	Harding Univ Bison Baja	OK	64.00	0.00	74.00
3	Iowa State Univ Cyclone Racing	OK	58.00	0.00	73.00
40	Vellore Institute of Technology Team Jaabaz	OK	58.00	0.00	73.00
14	Cleveland State Univ Viking Racing	OK	68.00	0.00	72.00
27	Univ of Calif - Los Angeles UCLA Racing	OK	58.00	0.00	72.00
108	California State Poly Univ - Pomona Cal Poly Pomona Baja SAE	OK	57.00	0.00	72.00
64	Clemson Univ CU Baja Racing	OK	62.00	0.00	71.00
63	Univ of Missouri - Kansas City UMKC Baja Racing	OK	56.00	0.00	69.00
28	Wichita State Univ Shocker Racing	OK	63.00	0.00	68.00
45	Univ of Alabama - Tuscaloosa Bama Racing	OK	65.00	0.00	68.00
37	Universite de Sherbrooke Sherbrooke Racing Team	OK	51.00	0.00	66.00
