2	Univ of Michigan - Ann Arbor
3	Iowa State Univ
4	Cornell Univ
5	Rochester Institute of Technology
6	Ecole De Technologie Superieure
10	Polytechnique Montréal
11	Georgia Southern Univ
12	North Carolina State Univ - Raleigh
14	Cleveland State Univ
15	Virginia Tech
16	San Diego State Univ
17	Hindustan University
18	Queen's Univ - Ontario Canada
19	Universidad Autonoma de Ciudad Juarez
20	LeTourneau Univ
21	SUNY Inst of Tech - Utica
22	Univ of Texas - Pan American
23	Ohio Northern Univ
24	Manhattan College
25	Pittsburg State University
26	Florida A&M Univ/Florida State Univ
27	Univ of Calif - Los Angeles
28	Wichita State Univ
29	Univ of Maryland - Baltimore County
30	Johns Hopkins Univ
31	Univ of Southern Indiana
32	Olin College of Engineering
33	Kansas State Univ
34	West Virginia Univ Inst of Tech
35	Clarkson University
36	Univ of Central Florida
37	Universite de Sherbrooke
39	Univ of Akron
40	Vellore Institute of Technology
41	Univ of Wisconsin - Madison
42	Auburn Univ
43	Kettering Univ
44	Univ of Notre Dame
45	Univ of Alabama - Tuscaloosa
46	GB Pantnagar Univ of Agriculture & Tech
47	Ohio State Univ
48	Bucknell Univ
49	Univ of Cairo
50	Southern Illinois Univ at Carbondale
51	Northern Kentucky Univ
52	Miami Univ
53	SRM Engineering College
54	SUNY - Buffalo
55	Univ of Wisconsin - Stout
56	Univ of Tennessee - Martin
57	Youngstown State Univ
58	PEC University of Technology
59	Univ of Rochester
60	Univ of Virginia
61	Penn State Univ - Harrisburg
62	Central Michigan Univ
63	Univ of Missouri - Kansas City
64	Clemson Univ
65	Louisiana Tech Univ
66	Purdue Univ - Calumet
67	Univ of Louisville
68	Middle Tennessee State Univ
70	Michigan State Univ
71	Univ of Arkansas - Fayetteville
72	Delhi Technological Univ
73	Univ of Illinois - Urbana Champaign
74	George Washington Univ
75	Grove City College
76	Arizona State Univ Polytechnic
77	Rowan Univ
78	Univ of Nevada - Las Vegas
79	Virginia Western Comm Coll
80	Lipscomb Univ
81	Univ of New Orleans
83	California Polytechnic State Univ-SLO
84	Universidad De La Salle Bajio
85	Univ of Evansville
86	North Carolina A & T State Univ
87	US Military Academy
88	Florida Inst of Tech
89	Oregon State Univ
90	Michigan Tech Univ
91	Case Western Reserve Univ
92	Univ of Arkansas- Fort Smith
93	Louisiana State Univ
94	Kansas State Univ - Salina
95	Tennessee Tech Univ
97	Univ of Tennessee -Chattanooga
98	Christian Brothers Univ
99	Embry-Riddle Aero Univ - Daytona Beach
100	Northeastern Univ
101	Harding Univ
103	Illinois Institute of Technology
105	University of Mount Union
107	Georgia Institute of Technology
108	California State Poly Univ - Pomona
110	Universidad Autonoma Estado Mexico
111	Univ of Cincinnati
126	Univ of South Carolina
