Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Penalty
50	Southern Illinois Univ at Carbondale	Saluki Baja	OK	167.22500	167.22500	0
80	Lipscomb Univ	Lipscomb Motorsports	OK	97.54500	97.54500	0
80	Lipscomb Univ	Lipscomb Motorsports	OK	94.50500	94.50500	0
68	Middle Tennessee State Univ	MTSU Motorsports	OK	123.33700	123.33700	0
85	Univ of Evansville	Aces baja	OK	108.75400	108.75400	0
50	Southern Illinois Univ at Carbondale	Saluki Baja	DQ	0.00000	0.00000	0
37	Universite de Sherbrooke	Sherbrooke Racing Team	DQ	0.00000	0.00000	0
25	Pittsburg State University	Diddy Kong Racing	OK	101.43100	101.43100	0
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	109.27000	109.27000	0
75	Grove City College	Grove City Racing	OK	73.63700	73.63700	0
57	Youngstown State Univ	Penguin Powersports	OK	103.63400	103.63400	0
3	Iowa State Univ	Cyclone Racing	DQ	0.00000	0.00000	0
68	Middle Tennessee State Univ	MTSU Motorsports	OK	110.72500	110.72500	0
37	Universite de Sherbrooke	Sherbrooke Racing Team	DQ	0.00000	0.00000	0
85	Univ of Evansville	Aces baja	OK	91.06000	91.06000	0
25	Pittsburg State University	Diddy Kong Racing	OK	97.24900	97.24900	0
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	DQ	0.00000	0.00000	0
75	Grove City College	Grove City Racing	OK	70.21300	70.21300	0
87	US Military Academy	Army Motorsports	DQ	0.00000	0.00000	0
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	102.82500	102.82500	0
111	Univ of Cincinnati	Bearcats Baja	OK	154.31500	154.31500	0
59	Univ of Rochester	Yellowjacket Racing	DQ	0.00000	0.00000	0
10	Polytechnique Montréal	poly mud bees	DQ	0.00000	0.00000	0
40	Vellore Institute of Technology	Team Jaabaz	OK	150.46700	150.46700	0
6	Ecole De Technologie Superieure	ETS Motorsports	OK	80.68100	80.68100	0
39	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
111	Univ of Cincinnati	Bearcats Baja	OK	78.99300	78.99300	0
14	Cleveland State Univ	Viking Racing	OK	85.31800	85.31800	0
57	Youngstown State Univ	Penguin Powersports	DQ	0.00000	0.00000	0
39	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
14	Cleveland State Univ	Viking Racing	OK	91.92500	91.92500	0
15	Virginia Tech	VT Baja	OK	108.35200	108.35200	0
52	Miami Univ	Redhawk Racing	OK	63.99000	63.99000	0
43	Kettering Univ	Bulldog Racing	OK	69.43500	69.43500	0
59	Univ of Rochester	Yellowjacket Racing	OK	87.04400	87.04400	0
