Car Number	School Name	Team Name	Status	Evaluation Score	Penalty Points	Final Score
87	Sanilac Career Center	ADD racing	OK	0.00	0.00	0.00
88	Univ of Helwan	BHU	OK	48.33	0.00	48.33
89	Rayat Bahra Inst Of Eng	Indus Pride	OK	42.00	0.00	42.00
90	Alfred State College	Pioneer Racing	OK	38.67	0.00	38.67
91	Univ of Tulsa	Tulsa Baja	OK	0.00	0.00	0.00
93	North Dakota State Univ	Bison Motorsports	OK	40.33	0.00	40.33
92	Ohio State Univ	Buckeye Baja	OK	0.00	0.00	0.00
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	34.33	0.00	34.33
97	Lovely Professional University	Illuminati Racers	OK	0.00	0.00	0.00
99	Idaho State University	Bengals Racing	OK	0.00	0.00	0.00
98	Gonzaga Universtity	Gonzaga	OK	34.00	0.00	34.00
101	San Jose State University	Spartan Racing	OK	0.00	0.00	0.00
102	US Military Academy	West Point Mini Baja	OK	35.00	0.00	35.00
103	Manhattan College	Jasper Racing	OK	20.17	0.00	20.17
104	Boise State Univ	Boise State Motorsports	OK	22.40	0.00	22.40
105	West Virginia Univ	Mountaineers	OK	40.60	0.00	40.60
106	Northern Arizona Univ	NAU	OK	43.67	0.00	43.67
107	Univ of Texas - El Paso	Mad Pete Motorsports II	OK	0.00	0.00	0.00
108	New Mexico State Univ	NMSU Motorsports II	OK	45.00	0.00	45.00
109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	32.00	0.00	32.00
110	San Diego State Univ	SDSU Baja	OK	0.00	0.00	0.00
111	Brigham Young Univ	BYU Jr. Baja	OK	0.00	0.00	0.00
113	Universidad de Carabobo	Organizacion SAE UC Venezuela	OK	38.33	0.00	38.33
114	Olympic College	Olympic College Baja Extreme	OK	36.33	0.00	36.33
115	Texas A&M - Kingsville	Javelina Motorsports	OK	0.00	0.00	0.00
116	Univ of Science & Tech of Iran	sorena	OK	0.00	0.00	0.00
