Car Number	School Name	Team Name	Status	Adjusted Time	Raw Time	Penalties	Distance
12	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	0.00000	1	291 Feet
108	New Mexico State Univ	NMSU Motorsports II	OK	64.72000	60.72000	2	590 Feet
93	North Dakota State Univ	Bison Motorsports	OK	56.28000	52.28000	2	590 Feet
62	Louisiana State Univ	LSU Tiger Racing	OK	0.00000	0.00000	1	185 Feet
36	Universite Laval	Alerion	OK	49.12000	43.12000	3	590 Feet
22	Univ of Rhode Island	URI Motorsports	OK	68.15000	62.15000	3	590 Feet
85	Oregon Inst of Tech	Oregon Tech Racing	OK	0.00000	0.00000	2	175 Feet
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00000	0.00000	2	283 Feet
63	Keimyung University	Speed Limit	OK	0.00000	0.00000	2	283 Feet
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	0.00000	0.00000	3	366 Feet
113	Universidad de Carabobo	Organizacion SAE UC Venezuela	OK	0.00000	0.00000	2	409 Feet
37	Univ of Puerto Rico	RUM Racing Baja	OK	0.00000	0.00000	3	381 Feet
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	0.00000	0.00000	1	292 Feet
62	Louisiana State Univ	LSU Tiger Racing	OK	0.00000	0.00000	2	281 Feet
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	0.00000	0.00000	1	401 Feet
27	Franklin W Olin College of Engineering	Phoenix Racing	OK	0.00000	0.00000	1	287 Feet
91	Univ of Tulsa	Tulsa Baja	OK	0.00000	0.00000	1	409 Feet
65	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	0.00000	0.00000	1	363 Feet
16	Virginia Tech	VT Baja	OK	0.00000	0.00000	1	409 Feet
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	56.60000	54.60000	1	590 Feet
106	Northern Arizona Univ	NAU	OK	0.00000	0.00000	2	285 Feet
55	Univ of Pretoria	TuksBaja	OK	0.00000	0.00000	3	276 Feet
1	McGill Univ	McGill Baja Racing	OK	50.59000	48.59000	1	590 Feet
