Car Number	School Name	Team Name	Status	Time	Distance
91	Univ of Tulsa	Tulsa Baja	OK	0.00000	45 Feet
84	California State Univ - Los Angeles	Golden Eagle Motorsports	OK	0.00000	64 Feet
82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	0.00000	35 Feet
86	Univ of Calif - Davis	Davis Baja	OK	0.00000	15 Feet
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	0.00000	122 Feet
17	Cetys Universidad	Z7	OK	0.00000	61 Feet
82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	0.00000	75 Feet
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	44 Feet
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	0.00000	40 Feet
106	Northern Arizona Univ	NAU	OK	0.00000	5 Feet
99	Idaho State University	Bengals Racing	OK	0.00000	4 Feet
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	50 Feet
60	Purdue Univ - W Lafayette	Titan	OK	0.00000	75 Feet
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	0.00000	63 Feet
106	Northern Arizona Univ	NAU	OK	0.00000	40 Feet
99	Idaho State University	Bengals Racing	OK	0.00000	0 Feet
108	New Mexico State Univ	NMSU Motorsports II	OK	0.00000	60 Feet
40	New Mexico State Univ	NMSU Motorsports	OK	0.00000	43 Feet
93	North Dakota State Univ	Bison Motorsports	OK	0.00000	15 Feet
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	0.00000	70 Feet
93	North Dakota State Univ	Bison Motorsports	OK	0.00000	32 Feet
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	0.00000	64 Feet
22	Univ of Rhode Island	URI Motorsports	OK	0.00000	63 Feet
74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	OK	0.00000	27 Feet
37	Univ of Puerto Rico	RUM Racing Baja	OK	0.00000	5 Feet
54	Wichita State Univ	Shocker Racing	OK	0.00000	1 Feet
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	0.00000	69 Feet
4	Univ of Michigan - Ann Arbor	Maize	OK	0.00000	102 Feet
48	Milwaukee School of Engrg	Nuclear Fallout	OK	0.00000	5 Feet
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	0.00000	42 Feet
43	Instituto Tecnologico de Chihuahua	Zarape Racing Team	OK	0.00000	64 Feet
103	Manhattan College	Jasper Racing	OK	0.00000	30 Feet
75	ESIA Tlalnepantla	Leones Blancos	OK	0.00000	14 Feet
75	ESIA Tlalnepantla	Leones Blancos	OK	0.00000	0 Feet
1	McGill Univ	McGill Baja Racing	OK	0.00000	125 Feet
51	Embry-Riddle Aero Univ - Daytona Beach	Lady Eagles	OK	0.00000	3 Feet
40	New Mexico State Univ	NMSU Motorsports	OK	0.00000	15 Feet
22	Univ of Rhode Island	URI Motorsports	OK	0.00000	55 Feet
55	Univ of Pretoria	TuksBaja	OK	0.00000	64 Feet
81	Harding Univ	Bison Baja	OK	0.00000	25 Feet
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	0.00000	64 Feet
