Car Number	School Name	Team Name	Status	Time
82	Univ of Alaska - Anchorage	Midnight Sun Racing	OK	5.07900
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	5.70600
3	Rochester Institute of Technology	RIOT RACING	OK	4.62300
22	Univ of Rhode Island	URI Motorsports	OK	5.64500
64	Univ of Nevada - Las Vegas	Rebel Racing	OK	5.17900
106	Northern Arizona Univ	NAU	OK	5.87900
72	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	5.09300
106	Northern Arizona Univ	NAU	OK	5.87900
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	6.00200
2	Univ of Louisville	Speed Motorsports	OK	4.57200
108	New Mexico State Univ	NMSU Motorsports II	OK	5.19700
48	Milwaukee School of Engrg	Nuclear Fallout	OK	10.86200
71	ITESM - Campus Toluca	BORREGOS TOLUCA	OK	6.06400
108	New Mexico State Univ	NMSU Motorsports II	OK	5.15300
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	4.78600
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	4.81100
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	5.80100
10	Iowa State Univ	Cyclone Racing	OK	4.82200
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	5.81100
109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	4.83000
48	Milwaukee School of Engrg	Nuclear Fallout	OK	10.62800
37	Univ of Puerto Rico	RUM Racing Baja	OK	5.96000
54	Wichita State Univ	Shocker Racing	OK	5.82500
37	Univ of Puerto Rico	RUM Racing Baja	OK	6.06500
14	New Mexico Inst of Mining & Tech	Dirty Miners	OK	5.14700
75	ESIA Tlalnepantla	Leones Blancos	OK	5.53000
75	ESIA Tlalnepantla	Leones Blancos	OK	5.44000
26	Universite de Sherbrooke	Sherbrooke Racing Team	OK	4.90900
20	Univ of Wisconsin - Milwaukee	UWM BAJA	OK	5.15400
24	Cornell Univ	BIG RED RACING	OK	4.49900
1	McGill Univ	McGill Baja Racing	OK	4.60300
18	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	5.43300
81	Harding Univ	Bison Baja	OK	4.78600
4	Univ of Michigan - Ann Arbor	Maize	OK	4.22900
104	Boise State Univ	Boise State Motorsports	OK	6.08900
89	Rayat Bahra Inst Of Eng	Indus Pride	OK	5.90000
104	Boise State Univ	Boise State Motorsports	OK	5.85500
109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	4.82500
89	Rayat Bahra Inst Of Eng	Indus Pride	OK	6.34900
