Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Bypass	Cones
106	Univ of Manitoba	Red Lion Racing	DQ	0.00000	0.00000	0	0
106	Univ of Manitoba	Red Lion Racing	DQ	0.00000	0.00000	0	0
134	Southern Illinois Univ - Edwardville	Cougar Baja	DQ	0.00000	0.00000	0	0
70	Lehigh Univ	Lehigh Engineers	DQ	0.00000	0.00000	0	0
70	Lehigh Univ	Lehigh Engineers	DQ	0.00000	0.00000	0	0
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	DQ	0.00000	0.00000	0	0
5	Polytechnique Montréal	poly mud bees	OK	83.21000	81.21000	0	1
5	Polytechnique Montréal	poly mud bees	OK	80.77300	78.77300	0	1
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	DQ	0.00000	0.00000	0	0
8	Ecole De Technologie Superieure	ETS Motorsports	OK	58.48400	58.48400	0	0
124	Univ of Tennessee -Chattanooga	Racing Mocs	DQ	0.00000	0.00000	0	0
90	Purdue Univ - W Lafayette	Purdue Baja Racing	DQ	0.00000	0.00000	0	0
90	Purdue Univ - W Lafayette	Purdue Baja Racing	DQ	0.00000	0.00000	0	0
93	Pennsylvania College of Technology	PCT Baja	OK	84.47900	64.47900	1	0
93	Pennsylvania College of Technology	PCT Baja	DQ	0.00000	0.00000	0	0
79	Binghamton Univ	Binghamton Baja	DQ	0.00000	0.00000	0	0
79	Binghamton Univ	Binghamton Baja	DQ	0.00000	0.00000	0	0
12	Laurentian Univ	LUVRC	DQ	0.00000	0.00000	0	0
115	University of Mount Union	Raider Racing	OK	136.06700	108.06700	1	4
12	Laurentian Univ	LUVRC	OK	137.17700	137.17700	0	0
115	University of Mount Union	Raider Racing	OK	132.68900	104.68900	1	4
57	SUNY - Buffalo	UB Motorsports	DQ	0.00000	0.00000	0	0
75	McGill Univ	McGill Baja Racing Team	OK	71.92100	71.92100	0	0
97	Old Dominion Univ	Whiskey Throttle Racing	OK	72.65400	70.65400	0	1
97	Old Dominion Univ	Whiskey Throttle Racing	OK	73.64800	73.64800	0	0
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	76.34300	72.34300	0	2
41	Pimpri Chinchwad College of Engineering	Team Red Baron	DQ	0.00000	0.00000	0	0
28	Memorial Univ of Newfoundland	Memorial Baja	DQ	0.00000	0.00000	0	0
28	Memorial Univ of Newfoundland	Memorial Baja	DQ	0.00000	0.00000	0	0
104	Univ of Iowa	Hawkeye Motorsports	DQ	0.00000	0.00000	0	0
104	Univ of Iowa	Hawkeye Motorsports	DQ	0.00000	0.00000	0	0
101	Sinhgad College of Engineering	Team Kraftwagen	DQ	0.00000	0.00000	0	0
74	The Ohio State University	Baja Buckeyes	OK	123.99200	101.99200	1	1
101	Sinhgad College of Engineering	Team Kraftwagen	OK	100.74800	70.74800	1	5
64	Johns Hopkins Univ	Blue Jay Racing	OK	108.48500	80.48500	1	4
95	Youngstown State Univ	YSU Baja	OK	106.04900	84.04900	1	1
95	Youngstown State Univ	YSU Baja	OK	95.70500	71.70500	1	2
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	105.95700	101.95700	0	2
129	Missouri University of Science and Tech	Miner Baja Racing	DQ	0.00000	0.00000	0	0
129	Missouri University of Science and Tech	Miner Baja Racing	DQ	0.00000	0.00000	0	0
19	Univ of Illinois - Chicago	UIC Motorsports	DQ	0.00000	0.00000	0	0
19	Univ of Illinois - Chicago	UIC Motorsports	DQ	0.00000	0.00000	0	0
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	DQ	0.00000	0.00000	1	0
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	95.74300	75.74300	1	0
105	Ferris State University	Brutus	DQ	0.00000	0.00000	0	0
105	Ferris State University	Brutus	DQ	0.00000	0.00000	0	0
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	118.95500	92.95500	1	3
84	Univ of Nevada - Las Vegas	Rebel Racing	DQ	0.00000	0.00000	0	0
45	Univ of Wisconsin - Stout	Blue Devil Racing	DQ	0.00000	0.00000	0	0
45	Univ of Wisconsin - Stout	Blue Devil Racing	DQ	0.00000	0.00000	0	0
116	Olivet Nazarene Univ	ONU Racing	DQ	0.00000	0.00000	0	0
116	Olivet Nazarene Univ	ONU Racing	OK	223.33500	203.33500	1	0
69	Penn State Univ - Altoona	Penn State Motorsports Club	DQ	0.00000	0.00000	0	0
69	Penn State Univ - Altoona	Penn State Motorsports Club	DQ	0.00000	0.00000	0	0
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	DQ	0.00000	0.00000	0	0
21	Oklahoma State Univ	Cowboy Racing	DQ	0.00000	0.00000	0	0
78	University of Prince Edward Island	Not Bad Racing	DQ	0.00000	0.00000	0	0
78	University of Prince Edward Island	Not Bad Racing	OK	150.96100	120.96100	1	5
57	SUNY - Buffalo	UB Motorsports	DQ	0.00000	0.00000	0	0
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	DQ	0.00000	0.00000	0	0
50	Universidad La Salle	Aguilas La Salle	DQ	0.00000	0.00000	0	0
50	Universidad La Salle	Aguilas La Salle	DQ	0.00000	0.00000	0	0
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	181.88400	157.88400	1	2
2	Rochester Institute of Technology	RIOT RACING	DQ	0.00000	0.00000	0	0
25	College of New Jersey	TCNJ MotorLions	DQ	0.00000	0.00000	0	0
25	College of New Jersey	TCNJ MotorLions	DQ	0.00000	0.00000	0	0
120	Kettering Univ	Bulldog Racing	DQ	0.00000	0.00000	0	0
120	Kettering Univ	Bulldog Racing	OK	101.75000	75.75000	1	3
118	Lawrence Technological Univ	Blue Devil Motorsports	DQ	0.00000	0.00000	0	0
118	Lawrence Technological Univ	Blue Devil Motorsports	DQ	0.00000	0.00000	0	0
