Car No.	School Name	Team Name	Status	Time
101	Sinhgad College of Engineering	Team Kraftwagen	OK	4.27500
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	4.52600
95	Youngstown State Univ	YSU Baja	OK	4.70500
95	Youngstown State Univ	YSU Baja	OK	4.66500
65	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	4.41500
34	Univ of Virginia	Virginia Motorsports	OK	4.75200
34	Univ of Virginia	Virginia Motorsports	OK	4.61200
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	5.36800
57	SUNY - Buffalo	UB Motorsports	OK	4.12000
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	5.42400
60	Grove City College	Grove City Racing	OK	5.59900
105	Ferris State University	Brutus	OK	5.36200
116	Olivet Nazarene Univ	ONU Racing	OK	5.46400
105	Ferris State University	Brutus	OK	5.27100
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	3.90200
116	Olivet Nazarene Univ	ONU Racing	OK	5.43500
38	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	4.50100
28	Memorial Univ of Newfoundland	Memorial Baja	OK	4.69000
129	Missouri University of Science and Tech	Miner Baja Racing	OK	4.65700
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	3.96900
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	4.68800
12	Laurentian Univ	LUVRC	OK	5.68800
129	Missouri University of Science and Tech	Miner Baja Racing	OK	4.80700
12	Laurentian Univ	LUVRC	OK	6.34200
28	Memorial Univ of Newfoundland	Memorial Baja	OK	4.77100
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	3.98500
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	4.34900
138	Univ of Memphis	Tiger Baja	OK	6.18200
27	Univ of New Hampshire	UNH Baja	OK	5.00300
27	Univ of New Hampshire	UNH Baja	OK	4.93000
19	Univ of Illinois - Chicago	UIC Motorsports	OK	4.40300
19	Univ of Illinois - Chicago	UIC Motorsports	OK	4.47300
21	Oklahoma State Univ	Cowboy Racing	OK	4.68400
21	Oklahoma State Univ	Cowboy Racing	OK	4.55600
50	Universidad La Salle	Aguilas La Salle	OK	4.48200
50	Universidad La Salle	Aguilas La Salle	OK	4.47100
32	Michigan Tech Univ	Blizzard Baja	OK	5.31900
32	Michigan Tech Univ	Blizzard Baja	OK	5.27500
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	4.84300
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	4.46300
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	4.92200
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	5.02300
2	Rochester Institute of Technology	RIOT RACING	OK	4.13300
40	Vellore Institute of Technology Chennai	TSI	OK	4.97100
26	Univ of Nebraska - Lincoln	Husker Racing	OK	4.33800
40	Vellore Institute of Technology Chennai	TSI	OK	7.16000
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	4.77400
78	University of Prince Edward Island	Not Bad Racing	OK	4.40400
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	4.78800
25	College of New Jersey	TCNJ MotorLions	OK	4.84100
78	University of Prince Edward Island	Not Bad Racing	OK	4.44300
25	College of New Jersey	TCNJ MotorLions	OK	4.75900
