Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
79	Binghamton Univ	Binghamton Baja	OK	10.00	17.73	0.00	27.73
25	College of New Jersey	TCNJ MotorLions	OK	6.00	64.87	50.00	20.87
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	14.00	0.00	0.00	14.00
101	Sinhgad College of Engineering	Team Kraftwagen	OK	11.00	0.00	0.00	11.00
13	Clarkson University	Golden Knights Racing	OK	3.00	0.00	0.00	3.00
91	Univ of Southern Indiana	Screaming Eagles	OK	3.00	0.00	0.00	3.00
57	SUNY - Buffalo	UB Motorsports	OK	1.00	0.00	0.00	1.00
35	Western Michigan Univ	WMU Baja	OK	0.00	0.00	0.00	0.00
55	Manipal University	Ingenium	OK	0.00	0.00	10.00	0.00
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	0.00	0.00	0.00	0.00
87	California State Univ - Long Beach	Long Beach Racing	OK	10.00	20.15	50.00	0.00
88	Wentworth Inst of Tech	Wentworth SAE	OK	0.00	0.00	50.00	0.00
92	Fairfield Univ	Fairfield Stags Racing	OK	0.00	0.00	0.00	0.00
116	Olivet Nazarene Univ	ONU Racing	OK	0.00	0.00	0.00	0.00
