Car No.	School Name	Team Name	Status	Time	Distance
13	Clarkson University	Golden Knights Racing	OK	0.00000	63.417 Ft
24	Cleveland State Univ	Vikings Racing	OK	16.61200	100.000 Ft
79	Binghamton Univ	Binghamton Baja	OK	18.14400	100.000 Ft
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	14.40700	100.000 Ft
106	Univ of Manitoba	Red Lion Racing	OK	12.75400	100.000 Ft
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	13.22200	100.000 Ft
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	73.833 Ft
138	Univ of Memphis	Tiger Baja	OK	0.00000	62.000 Ft
33	Marquette Univ	Eagle Racing	OK	0.00000	74.167 Ft
49	Univ of Central Florida	Knights Racing	OK	11.41000	100.000 Ft
104	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	61.500 Ft
84	Univ of Nevada - Las Vegas	Rebel Racing	OK	0.00000	60.167 Ft
106	Univ of Manitoba	Red Lion Racing	OK	12.68000	100.000 Ft
49	Univ of Central Florida	Knights Racing	OK	11.10800	100.000 Ft
124	Univ of Tennessee -Chattanooga	Racing Mocs	OK	0.00000	69.750 Ft
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	10.52300	100.000 Ft
24	Cleveland State Univ	Vikings Racing	OK	0.00000	74.583 Ft
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	0.00000	66.917 Ft
86	Univ of Wisconsin - Milwaukee	UW-Milwaukee Baja SAE	OK	0.00000	67.500 Ft
90	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	10.32000	100.000 Ft
79	Binghamton Univ	Binghamton Baja	OK	15.63700	100.000 Ft
95	Youngstown State Univ	YSU Baja	OK	16.79600	100.000 Ft
95	Youngstown State Univ	YSU Baja	OK	0.00000	74.917 Ft
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	0.00000	64.000 Ft
62	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	0.00000	69.500 Ft
68	Embry-Riddle Aero Univ - Daytona Beach	ERAU Lady Eagles Baja	OK	0.00000	67.333 Ft
104	Univ of Iowa	Hawkeye Motorsports	OK	0.00000	63.250 Ft
97	Old Dominion Univ	Whiskey Throttle Racing	OK	0.00000	69.083 Ft
11	Univ of Maryland - Baltimore County	UMBC Racing	OK	0.00000	70.583 Ft
39	Michigan State Univ	MSU Baja	OK	0.00000	63.667 Ft
39	Michigan State Univ	MSU Baja	OK	0.00000	65.000 Ft
60	Grove City College	Grove City Racing	OK	0.00000	63.583 Ft
60	Grove City College	Grove City Racing	OK	0.00000	64.250 Ft
116	Olivet Nazarene Univ	ONU Racing	OK	0.00000	62.333 Ft
116	Olivet Nazarene Univ	ONU Racing	OK	0.00000	64.750 Ft
118	Lawrence Technological Univ	Blue Devil Motorsports	OK	15.05900	100.000 Ft
101	Sinhgad College of Engineering	Team Kraftwagen	OK	9.28200	100.000 Ft
129	Missouri University of Science and Tech	Miner Baja Racing	OK	13.74000	100.000 Ft
105	Ferris State University	Brutus	OK	0.00000	53.333 Ft
129	Missouri University of Science and Tech	Miner Baja Racing	OK	14.62400	100.000 Ft
28	Memorial Univ of Newfoundland	Memorial Baja	OK	0.00000	63.750 Ft
28	Memorial Univ of Newfoundland	Memorial Baja	OK	0.00000	67.250 Ft
21	Oklahoma State Univ	Cowboy Racing	OK	0.00000	65.000 Ft
19	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	68.500 Ft
19	Univ of Illinois - Chicago	UIC Motorsports	OK	0.00000	67.500 Ft
50	Universidad La Salle	Aguilas La Salle	OK	0.00000	67.500 Ft
21	Oklahoma State Univ	Cowboy Racing	OK	0.00000	62.167 Ft
111	Arizona State Univ Polytechnic	Sun Devil Racing	OK	9.69700	100.000 Ft
50	Universidad La Salle	Aguilas La Salle	OK	0.00000	32.417 Ft
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	0.00000	90.000 Ft
111	Arizona State Univ Polytechnic	Sun Devil Racing	OK	9.31800	100.000 Ft
27	Univ of New Hampshire	UNH Baja	OK	0.00000	59.750 Ft
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	0.00000	59.167 Ft
69	Penn State Univ - Altoona	Penn State Motorsports Club	OK	0.00000	60.250 Ft
32	Michigan Tech Univ	Blizzard Baja	OK	0.00000	65.083 Ft
105	Ferris State University	Brutus	OK	14.07800	100.000 Ft
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	0.00000	83.000 Ft
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	13.88100	100.000 Ft
30	Univ of Regina	Cougar Racing	OK	0.00000	69.250 Ft
45	Univ of Wisconsin - Stout	Blue Devil Racing	OK	12.87800	100.000 Ft
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	10.21800	100.000 Ft
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	10.44600	100.000 Ft
101	Sinhgad College of Engineering	Team Kraftwagen	OK	9.91900	100.000 Ft
25	College of New Jersey	TCNJ MotorLions	OK	0.00000	71.333 Ft
9	Queen's Univ - Ontario Canada	Queen's Baja	OK	9.08500	100.000 Ft
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00000	65.000 Ft
2	Rochester Institute of Technology	RIOT RACING	OK	10.59000	100.000 Ft
74	The Ohio State University	Baja Buckeyes	OK	0.00000	63.583 Ft
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	0.00000	62.500 Ft
25	College of New Jersey	TCNJ MotorLions	OK	0.00000	62.500 Ft
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	0.00000	63.500 Ft
78	University of Prince Edward Island	Not Bad Racing	OK	12.18200	100.000 Ft
78	University of Prince Edward Island	Not Bad Racing	OK	10.73400	100.000 Ft
120	Kettering Univ	Bulldog Racing	OK	0.00000	64.583 Ft
120	Kettering Univ	Bulldog Racing	OK	0.00000	64.750 Ft
73	Ryerson Univ	Ryerson Baja	OK	0.00000	62.583 Ft
87	California State Univ - Long Beach	Long Beach Racing	OK	0.00000	61.417 Ft
87	California State Univ - Long Beach	Long Beach Racing	OK	0.00000	60.333 Ft
91	Univ of Southern Indiana	Screaming Eagles	OK	0.00000	53.000 Ft
30	Univ of Regina	Cougar Racing	OK	0.00000	53.333 Ft
91	Univ of Southern Indiana	Screaming Eagles	OK	0.00000	52.500 Ft
40	Vellore Institute of Technology Chennai	TSI	OK	22.70500	100.000 Ft
73	Ryerson Univ	Ryerson Baja	OK	0.00000	63.000 Ft
