Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Cones
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	84.15200	84.15200	0
51	Universidad De La Salle Bajio	Bajio 1	OK	79.82700	75.82700	2
113	Univ of Arizona	University of Arizona Baja	DQ	0.00000	0.00000	0
38	Keimyung University	Speeding	DQ	0.00000	0.00000	0
59	Univ of Calif - Irvine	Anteater Racing	OK	71.37800	71.37800	0
51	Universidad De La Salle Bajio	Bajio 1	OK	76.86800	74.86800	1
54	Seattle Pacific Univ	Falcon Racing	DQ	0.00000	0.00000	0
56	California State Univ - Long Beach	Long Beach Racing	OK	104.20100	104.20100	0
144	Harbin Institute of Technology	CSG-HRT Baja	DQ	0.00000	0.00000	0
41	LeTourneau Univ	Renegade Racing	DQ	0.00000	0.00000	0
131	Alfred Univ	Saxon Racing	OK	73.24700	73.24700	0
29	Colorado State University	Aggies Offroad Racing & Development	DQ	0.00000	0.00000	0
45	Virginia Tech	Virginia Tech Baja	OK	83.56000	83.56000	0
56	California State Univ - Long Beach	Long Beach Racing	OK	83.84000	83.84000	0
3	Rochester Institute of Technology	RIOT RACING	OK	66.05000	66.05000	0
41	LeTourneau Univ	Renegade Racing	DQ	0.00000	0.00000	0
29	Colorado State University	Aggies Offroad Racing & Development	OK	96.02200	90.02200	3
45	Virginia Tech	Virginia Tech Baja	OK	76.75300	72.75300	2
38	Keimyung University	Speeding	DQ	0.00000	0.00000	0
89	Western New England University	Golden Bear Racing	OK	76.89800	74.89800	1
7	Univ of Nebraska - Lincoln	Husker Racing	DQ	0.00000	0.00000	0
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	81.63100	79.63100	1
144	Harbin Institute of Technology	CSG-HRT Baja	DQ	0.00000	0.00000	0
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	91.23100	83.23100	4
125	Florida A&M Univ/Florida State Univ	F-Racing	DQ	0.00000	0.00000	0
25	Johns Hopkins Univ	Blue Jay Racing	OK	80.17000	78.17000	1
7	Univ of Nebraska - Lincoln	Husker Racing	DQ	0.00000	0.00000	0
153	Bradley Univ	Bradley Motorsports	OK	83.28600	81.28600	1
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	DQ	0.00000	0.00000	0
100	Univ of Puerto Rico-Mayaquez	RUM Racing Baja	DQ	0.00000	0.00000	0
39	Univ of San Diego	Torero Racing	OK	91.29000	85.29000	3
77	Lamar Univ	Lamar University Racing	OK	81.80800	79.80800	1
52	D Y Patil College Of Engineering, Akurdi	Team Predators	DQ	0.00000	0.00000	0
31	Univ of Calif - Los Angeles	Bruin Racing	DQ	0.00000	0.00000	0
81	Central Michigan Univ	Chippewa Performance	OK	86.83400	84.83400	1
