Car No.	School Name	Team Name	Status	Time
18	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	4.03500
3	Rochester Institute of Technology	RIOT RACING	OK	4.02600
113	Univ of Arizona	University of Arizona Baja	OK	5.50500
144	Harbin Institute of Technology	CSG-HRT Baja	OK	3.96900
113	Univ of Arizona	University of Arizona Baja	OK	4.46900
117	McMaster Univ	McMaster Baja Racing	OK	4.25800
100	Univ of Puerto Rico-Mayaquez	RUM Racing Baja	OK	4.75700
100	Univ of Puerto Rico-Mayaquez	RUM Racing Baja	OK	4.80600
33	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	4.60100
104	Univ of Memphis	Tiger Baja	OK	4.81400
104	Univ of Memphis	Tiger Baja	OK	4.86200
12	Eastern Washington Univ	EWU Racing	OK	5.16200
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	4.24700
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	4.34300
149	Idaho State University	ISU Baja	OK	4.77600
77	Lamar Univ	Lamar University Racing	OK	4.30600
88	Interamerican Univ of Puerto Rico	Inter Baja Racing	OK	5.06700
149	Idaho State University	ISU Baja	OK	4.72600
41	LeTourneau Univ	Renegade Racing	OK	4.65000
77	Lamar Univ	Lamar University Racing	OK	4.32100
31	Univ of Calif - Los Angeles	Bruin Racing	OK	4.36400
31	Univ of Calif - Los Angeles	Bruin Racing	OK	4.03100
6	Oregon State Univ	Beaver Racing	OK	4.21000
110	Case Western Reserve Univ	CWRU Motorsports	OK	4.05100
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	4.33300
42	Northern Arizona Univ	NAU Lumberjack Racing	OK	4.77800
131	Alfred Univ	Saxon Racing	OK	4.75600
65	Ohio Northern Univ	Polar Bear Racing	OK	4.48800
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	4.41000
75	San Diego State Univ	Aztec Baja	OK	3.80200
15	Vellore Institute of Technology	Team Jaabaz	OK	4.26200
145	Fort Lewis College	X-treme team	OK	5.19100
145	Fort Lewis College	X-treme team	OK	5.08400
9	Iowa State Univ	Cyclone Racing	OK	4.41300
7	Univ of Nebraska - Lincoln	Husker Racing	OK	4.13900
3	Rochester Institute of Technology	RIOT RACING	OK	4.03900
