Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
11	Alexandria Univ	AlexBaja	OK	0.00	0.00	0.00	0.00
12	Eastern Washington Univ	EWU Racing	OK	0.00	0.00	10.00	0.00
27	Cetys Universidad	Z RACING	OK	0.00	40.00	50.00	0.00
29	Colorado State University	Aggies Offroad Racing & Development	OK	0.00	0.00	10.00	0.00
46	Cairo University	BCURT	OK	0.00	0.00	0.00	0.00
50	Hindustan University	STALWARTZ RACING	OK	0.00	0.00	0.00	0.00
53	ITEMS Ciudad	Borregos Baja SAE CCM	OK	0.00	0.00	0.00	0.00
57	Chitkara Institute of Engineering & Tech	TEAM LAKSHYA	OK	0.00	30.00	40.00	0.00
74	Univ of Waterloo	UW Offroad Motorsports	OK	0.00	20.00	40.00	0.00
90	Olympic College	Baja Extreme	OK	0.00	20.00	50.00	0.00
96	Polytechnique Montréal	poly mud bees	OK	0.00	0.00	40.00	0.00
104	Univ of Memphis	Tiger Baja	OK	0.00	30.00	50.00	0.00
116	California State Univ - Fresno	Bulldog Racing	OK	0.00	0.00	0.00	0.00
120	Univ of South Carolina	Gamecock Baja Racing	OK	0.00	0.00	0.00	0.00
127	Santa Clara Univ	SCU Baja	OK	0.00	0.00	0.00	0.00
136	National Inst of Tech Kurukshetra	Team NITROX	OK	0.00	0.00	0.00	0.00
152	Wichita State Univ	Shocker Racing Baja	OK	0.00	0.00	50.00	0.00
