Car No.	School Name	Team Name	Status	Report Score	Penalty Points	Final Score
12	Eastern Washington Univ	EWU Racing	OK	11.00	0.00	11.00
12	Eastern Washington Univ	EWU Racing	OK	11.00	0.00	11.00
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	11.00	0.00	11.00
51	Universidad De La Salle Bajio	Bajio 1	OK	11.00	0.00	11.00
69	Univ of Calif - Davis	Davis Racing - Baja	OK	11.00	0.00	11.00
74	Univ of Waterloo	UW Offroad Motorsports	OK	11.00	0.00	11.00
74	Univ of Waterloo	UW Offroad Motorsports	OK	11.00	0.00	11.00
75	San Diego State Univ	Aztec Baja	OK	11.00	0.00	11.00
80	Concordia University	Concordia Baja Racing	OK	11.00	0.00	11.00
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	11.00	0.00	11.00
125	Florida A&M Univ/Florida State Univ	F-Racing	OK	11.00	0.00	11.00
149	Idaho State University	ISU Baja	OK	11.00	0.00	11.00
54	Seattle Pacific Univ	Falcon Racing	OK	9.00	40.00	10.57
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	10.00	0.00	10.00
16	California State Univ - Los Angeles	Rugged Eagle Motorsports	OK	10.00	0.00	10.00
20	Univ of Akron	Zips Baja	OK	10.00	0.00	10.00
23	North Carolina A & T State Univ	Aggie Racing	OK	10.00	0.00	10.00
24	Bucknell Univ	Bucknell Motowerks	OK	10.00	0.00	10.00
25	Johns Hopkins Univ	Blue Jay Racing	OK	10.00	0.00	10.00
30	Louisiana State Univ	Baja Bengals	OK	10.00	0.00	10.00
42	Northern Arizona Univ	NAU Lumberjack Racing	OK	10.00	0.00	10.00
42	Northern Arizona Univ	NAU Lumberjack Racing	OK	10.00	0.00	10.00
95	Utah State University	Aggies	OK	10.00	0.00	10.00
28	Univ of Nevada - Las Vegas	Rebel Racing	OK	9.00	0.00	9.00
48	ITESM - Campus Saltillo	NOVA Racing Team	OK	9.00	0.00	9.00
48	ITESM - Campus Saltillo	NOVA Racing Team	OK	9.00	0.00	9.00
112	Rowan Univ	Rowan Motorsports	OK	9.00	0.00	9.00
112	Rowan Univ	Rowan Motorsports	OK	9.00	0.00	9.00
6	Oregon State Univ	Beaver Racing	OK	8.00	0.00	8.00
41	LeTourneau Univ	Renegade Racing	OK	8.00	0.00	8.00
43	Univ of Tennessee - Martin	UTM Baja	OK	8.00	0.00	8.00
151	South Dakota School of Mines & Tech	SDSM&T Hardrocker Racing Blue	OK	7.00	0.00	7.00
89	Western New England University	Golden Bear Racing	OK	6.00	0.00	6.00
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	5.00	0.00	5.00
46	Cairo University	BCURT	OK	5.00	0.00	5.00
46	Cairo University	BCURT	OK	5.00	0.00	5.00
57	Chitkara Institute of Engineering & Tech	TEAM LAKSHYA	OK	5.00	0.00	5.00
57	Chitkara Institute of Engineering & Tech	TEAM LAKSHYA	OK	5.00	0.00	5.00
65	Ohio Northern Univ	Polar Bear Racing	OK	14.00	10.00	4.00
116	California State Univ - Fresno	Bulldog Racing	OK	4.00	0.00	4.00
116	California State Univ - Fresno	Bulldog Racing	OK	4.00	0.00	4.00
117	McMaster Univ	McMaster Baja Racing	OK	3.00	0.00	3.00
117	McMaster Univ	McMaster Baja Racing	OK	3.00	0.00	3.00
142	Rochester Institute of Technology	Tiger Racing	OK	13.00	10.00	3.00
17	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	12.00	10.00	2.00
26	Univ of Helwan	BHU	OK	12.00	10.00	2.00
26	Univ of Helwan	BHU	OK	12.00	10.00	2.00
29	Colorado State University	Aggies Offroad Racing & Development	OK	2.00	0.00	2.00
29	Colorado State University	Aggies Offroad Racing & Development	OK	2.00	0.00	2.00
39	Univ of San Diego	Torero Racing	OK	11.00	10.00	1.00
49	Kansas State Univ	Wildcat Offroad	OK	1.00	0.00	1.00
49	Kansas State Univ	Wildcat Offroad	OK	1.00	0.00	1.00
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	1.00	0.00	1.00
72	Escuela Sup de Ing Automotriz Ecatepec	BUFFALOS RACING TEAM	OK	1.00	0.00	1.00
145	Fort Lewis College	X-treme team	OK	1.00	0.00	1.00
150	Instituto Politecnico Nacional	ESIME Culhuacán	OK	1.00	0.00	1.00
150	Instituto Politecnico Nacional	ESIME Culhuacán	OK	1.00	0.00	1.00
27	Cetys Universidad	Z RACING	OK	15.00	50.00	0.00
27	Cetys Universidad	Z RACING	OK	15.00	50.00	0.00
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00	0.00	0.00
