Car No.	School Name	Team Name	Status	Time	Distance
46	Univ of Central Florida	Knights Racing	OK	0	17 Gates
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	0	11 Gates
12	Univ of Tennessee - Martin	utm racing	OK	0	14 Gates
54	North Carolina A & T State Univ	Aggie Racing	OK	0	8 Gates
35	Univ of Notre Dame	Irish Racing	OK	0	14 Gates
40	Case Western Reserve Univ	CWRU Motorsports	OK	0	17 Gates
82	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	0	10 Gates
87	Cleveland State Univ	Vikings Racing	OK	66.743	30 Gates
19	Univ of Rochester	Yellow Jacket Racing	OK	0	16 Gates
79	Harding Univ	Bison Baja	OK	0	16 Gates
16	Rowan Univ	Rowan Motorsports	OK	80.302	30 Gates
97	University of Mount Union	Raider Racing	OK	0	16 Gates
6	Auburn Univ	War Eagle Motorsports	OK	0	7 Gates
23	Clarkson University	Golden Knights Racing	OK	0	17 Gates
8	Johns Hopkins Univ	Hopkins Baja	OK	0	13 Gates
52	Geneva College	GT 16	OK	120.081	30 Gates
33	Northwestern Univ	NU Motorcats	OK	0	11 Gates
86	Missouri University of Science and Tech	Miner Baja SAE	OK	0	20 Gates
71	Georgia Institute of Technology	GT Off Road	OK	0	16 Gates
39	Northern Illinois Univ	NIU Baja	OK	0	2 Gates
55	Cairo University	BCURT	OK	0	12 Gates
79	Harding Univ	Bison Baja	OK	0	29 Gates
6	Auburn Univ	War Eagle Motorsports	OK	0	7 Gates
17	Universidad Panamericana	PanterasUP	OK	0	10 Gates
50	Virginia Western Comm Coll	vwcc	OK	0	14 Gates
33	Northwestern Univ	NU Motorcats	OK	0	4 Gates
