Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Off Course	Ball
39	Northern Illinois Univ	NIU Baja	DQ	0	0	8	11
4	California State Poly Univ - Pomona	Bronco Racing	OK	183.846	97.846	8	23
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	135.538	94.538	3	13
5	Georgia Southern Univ	Eagle Motorsports	DQ	0	0	0	0
22	Sanilac Career Center	SCC Baja	OK	309.562	153.562	16	38
91	Univ of Kansas - Lawrence	Jayhawk Motorsports Baja	OK	226.027	142.027	8	22
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	280.587	160.587	12	30
40	Case Western Reserve Univ	CWRU Motorsports	OK	197.884	119.884	6	24
82	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	278.829	148.829	12	35
87	Cleveland State Univ	Vikings Racing	OK	212.932	109.932	9	29
97	University of Mount Union	Raider Racing	DQ	0	0	2	13
6	Auburn Univ	War Eagle Motorsports	OK	221.168	83.168	14	34
8	Johns Hopkins Univ	Hopkins Baja	OK	261.661	160.661	11	23
33	Northwestern Univ	NU Motorcats	OK	237.033	145.033	8	26
86	Missouri University of Science and Tech	Miner Baja SAE	OK	319.125	165.125	18	32
107	Clemson Univ	CUBaja Racing	OK	240.725	95.725	17	30
47	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	218.437	84.437	14	32
73	Louisiana Tech Univ	Mud Dawg Racing	OK	195.334	138.334	5	16
63	Virginia Tech	VT Baja	OK	219.012	71.012	16	34
17	Universidad Panamericana	PanterasUP	OK	306.207	137.207	19	37
35	Univ of Notre Dame	Irish Racing	OK	185.709	103.709	8	21
57	Univ of Illinois - Chicago	UIC Motorsports	OK	261.53	151.53	10	30
9	Tennessee Tech Univ	TTU Baja	OK	131.441	90.441	3	13
84	Lipscomb Univ	Lipscomb Motorsports	OK	296.946	143.946	17	34
34	Pittsburg State University	Gorilla Racing	OK	196.925	92.925	10	27
26	Vellore Institute of Technology	Team Jaabaz	DQ	0	0	0	4
