Car No.	School Name	Team Name	Status	Time
37	Government College of Engrg Pune	Team Nemesis Racing	OK	5.052
90	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	5.006
90	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	4.992
6	Auburn Univ	War Eagle Motorsports	OK	5.761
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	6.288
15	Univ of Alabama - Birmingham	Blazer Motorsports	OK	6.541
83	Miami Univ	Redhawk Racing	OK	6.02
19	Univ of Rochester	Yellow Jacket Racing	OK	5.825
87	Cleveland State Univ	Vikings Racing	OK	5.729
87	Cleveland State Univ	Vikings Racing	OK	5.682
24	McMaster Univ	McMaster Baja Racing	OK	5.263
24	McMaster Univ	McMaster Baja Racing	OK	5.356
97	University of Mount Union	Raider Racing	OK	5.057
97	University of Mount Union	Raider Racing	OK	5.197
6	Auburn Univ	War Eagle Motorsports	OK	4.658
71	Georgia Institute of Technology	GT Off Road	OK	5.384
76	George Washington Univ	GW Colonial Racing	OK	6.503
17	Universidad Panamericana	PanterasUP	OK	5.159
79	Harding Univ	Bison Baja	OK	5.171
55	Cairo University	BCURT	OK	6.222
17	Universidad Panamericana	PanterasUP	OK	5.241
83	Miami Univ	Redhawk Racing	OK	5.204
44	Univ of Evansville	Ace Baja	OK	5.504
76	George Washington Univ	GW Colonial Racing	OK	6.773
82	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	5.611
82	New Jersey Inst of Tech (Newark Coll)	Highlander Racing	OK	5.598
47	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	4.957
55	Cairo University	BCURT	OK	5.597
8	Johns Hopkins Univ	Hopkins Baja	OK	5.045
77	Univ of Wisconsin - Milwaukee	UWM Motorsports	OK	4.906
77	Univ of Wisconsin - Milwaukee	UWM Motorsports	OK	4.975
8	Johns Hopkins Univ	Hopkins Baja	OK	5.041
63	Virginia Tech	VT Baja	OK	4.723
18	Youngstown State Univ	Penguin Powersports	OK	5.67
18	Youngstown State Univ	Penguin Powersports	OK	5.443
137	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	5.202
105	Univ of Maryland - Baltimore County	UMBC Racing	OK	5.085
19	Univ of Rochester	Yellow Jacket Racing	OK	7.32
96	Kettering Univ	Kettering Bulldogs	OK	4.737
96	Kettering Univ	Kettering Bulldogs	OK	4.758
71	Georgia Institute of Technology	GT Off Road	OK	5.469
