Car No.	School / Team Name	Status	Report Score	Penalty Points	Final Score
101	Univ of Puerto Rico-Mayaquez RUM Racing Baja 	OK	1.00	0.00	1.00
15	Univ of Alabama - Birmingham Blazer Motorsports 	OK	0.00	10.00	0.00
18	Youngstown State Univ Penguin Powersports 	OK	0.00	0.00	0.00
20	Purdue Univ - Calumet PUC Motorsports 	OK	0.00	30.00	0.00
53	Western Carolina Univ WCUBaja 	OK	-1.00	0.00	0.00
56	Michigan State Univ MSU Baja 	OK	0.00	0.00	0.00
76	George Washington Univ GW Colonial Racing 	OK	0.00	0.00	0.00
77	Univ of Wisconsin - Milwaukee UWM Motorsports 	OK	0.00	0.00	0.00
85	Instituto Tecnologico de Pachuca Scuderia ITP 	OK	-1.00	10.00	0.00
89	Univ of Southern Indiana Screaming Eagles 	OK	0.00	0.00	0.00
100	Univ of Virginia Virginia Baja Racing 	OK	1.00	60.00	0.00
106	Middle Tennessee State Univ MTSU motorsports 	OK	-1.00	10.00	0.00
108	Southern Illinois Univ - Edwardville Cougar Baja 	OK	12.00	100.00	0.00
