Position	Car Number	School Name	Team Name	# of Laps	Last Lap Time	Last Lap @ Time	BestLap Time	Best Lap on Lap #	Average Lap Time
58	47	Univ of Arkansas - Fayetteville	Racing Razorbacks	11	7:28.786	14:14:45.819	4:58.457	10	14:13.027
59	90	Alfred State College	Pioneer Racing	11	5:26.710	15:22:10.509	5:24.478	7	20:29.269
60	76	Univ of Kansas - Lawrence	KU SAE Baja	11	5:19.401	15:30:28.410	5:19.401	11	21:49.032
61	27	Franklin W Olin College of Engineering	Phoenix Racing	11	6:00.162	15:47:03.803	5:30.313	7	12:20.971
62	91	Univ of Tulsa	Tulsa Baja	9	6:40.895	14:30:10.530	5:57.053	7	18:59.595
63	26	Universite de Sherbrooke	Sherbrooke Racing Team	8	11:03.526	12:39:50.432	4:57.326	6	7:11.284
64	54	Wichita State Univ	Shocker Racing	7	6:32.247	13:26:38.255	5:58.451	4	15:14.513
65	85	Oregon Inst of Tech	Oregon Tech Racing	7	2:55:33.316	15:47:17.483	7:35.569	6	37:28.662
66	52	Universidad Autonoma Estado Mexico	Sara Juana	7	 	 	 	0	 
67	89	Rayat Bahra Inst Of Eng	Indus Pride	5	6:31.147	12:26:38.968	6:31.147	5	7:22.949
68	17	Cetys Universidad	Z7	5	12:47.780	15:14:31.088	8:25.069	3	49:32.144
69	108	New Mexico State Univ	NMSU Motorsports II	4	6:43.859	14:55:56.835	6:43.859	4	1:00:53.002
70	13	Univ of Nebraska - Lincoln	Husker Racing	3	4:58.951	13:47:10.211	4:58.951	3	46:45.514
71	99	Idaho State University	Bengals Racing	3	1:53:01.236	14:01:19.701	9:10.370	2	1:01:05.803
72	21	Vellore Institute of Technology	Team Jaabaz	3	1:11:08.625	15:47:27.758	1:11:08.625	3	1:35:26.356
73	70	Louisiana Tech Univ	Mud Dawg Racing	1	 	14:13:08.969	 	0	 
74	28	Cairo University	BCURT	0	 	 	 	0	 
75	31	California State Poly Univ - Pomona	Bronco Racing	0	 	 	 	0	 
76	33	George Washington Univ	Geoff	0	 	 	 	0	 
77	34	Univ of Texas - El Paso	Mad Pete Motorsports	0	 	 	 	0	 
78	41	Georgia Institute of Technology	GT Offroad	0	 	 	 	0	 
79	44	Univ of Tennessee -Chattanooga	UTC Racing Mocs	0	 	 	 	0	 
80	45	Univ of Houston - College of Tech	LEVEL	0	 	 	 	0	 
81	48	Milwaukee School of Engrg	Nuclear Fallout	0	 	 	 	0	 
82	53	Western Washington Univ	WWU Racing	0	 	 	 	0	 
83	57	Delhi Technological Univ	Deltech Baja	0	 	 	 	0	 
84	59	University of Vermont	Vermontsters	0	 	 	 	0	 
85	61	Gautam Buddha University	VAJRAYANA	0	 	 	 	0	 
86	62	Louisiana State Univ	LSU Tiger Racing	0	 	 	 	0	 
87	66	Universidad La Salle Cuernavaca	Gallos ULSAC	0	 	 	 	0	 
88	67	Universidad La Salle Pachuca	Halcones	0	 	 	 	0	 
89	68	Khalifa University	KU Racers	0	 	 	 	0	 
90	69	PSG College of Technology	baja bhais	0	 	 	 	0	 
91	71	ITESM - Campus Toluca	BORREGOS TOLUCA	0	 	 	 	0	 
92	74	Yeungnam College of Science & Tech	YNC Baja SAE Expedition	0	 	 	 	0	 
93	77	Intituto Tecnologico de CD Cuauhtemoc	Daram	0	 	 	 	0	 
94	78	Cegep de Sherbrooke	Baja Cegep de Sherbrooke	0	 	 	 	0	 
95	79	Univ of Missouri	Mizzou Baja	0	 	 	 	0	 
96	80	Christian Brothers Univ	Bucs	0	 	 	 	0	 
97	82	Univ of Alaska - Anchorage	Midnight Sun Racing	0	 	 	 	0	 
98	83	Universidad Technologica de Ciudad Juarez	TOROS BRAVOS	0	 	 	 	0	 
99	87	Sanilac Career Center	ADD racing	0	 	 	 	0	 
100	88	Univ of Helwan	BHU	0	 	 	 	0	 
101	92	Ohio State Univ	Buckeye Baja	0	 	 	 	0	 
102	97	Lovely Professional University	Illuminati Racers	0	 	 	 	0	 
103	98	Gonzaga Universtity	Gonzaga	0	 	 	 	0	 
104	104	Boise State Univ	Boise State Motorsports	0	 	 	 	0	 
105	107	Univ of Texas - El Paso	Mad Pete Motorsports II	0	 	 	 	0	 
106	111	Brigham Young Univ	BYU Jr. Baja	0	 	 	 	0	 
107	114	Olympic College	Olympic College Baja Extreme	0	 	 	 	0	 
108	115	Texas A&M - Kingsville	Javelina Motorsports	0	 	 	 	0	 
109	116	Univ of Science & Tech of Iran	sorena	0	 	 	 	0	 
110	0	- 425646 -	 	0	 	 	 	0	 
